Temperature,Capacity,Temperature [K],Capacity [F],Epsilon,1/Epsilon
42.1,959.5,315.25,9.595e-10,1339.3676385302003,0.0007466209957837889
42.0,949.5,315.15,9.495e-10,1325.4086219743879,0.0007544843027430706
41.9,945.8,315.04999999999995,9.458e-10,1320.2437858487374,0.0007574358695861127
41.8,937.6,314.95,9.376e-10,1308.7973922729711,0.0007640602020632951
41.6,928.4,314.75,9.283999999999999e-10,1295.9550970416237,0.0007716316732599585
41.5,920.5,314.65,9.205e-10,1284.9274739625318,0.0007782540417757149
41.4,914.9,314.54999999999995,9.148999999999999e-10,1277.1104246912769,0.0007830176472341737
41.3,909.8,314.45,9.097999999999999e-10,1269.9913262478126,0.00078740695257699
41.1,900.9,314.25,9.009e-10,1257.5678015131396,0.0007951857536402992
41.0,893.2,314.15,8.932e-10,1246.819358765164,0.0008020408032406466
40.9,887.1,314.04999999999995,8.871e-10,1238.3043586661186,0.0008075559074000061
40.8,881.4,313.95,8.814e-10,1230.3477192293055,0.0008127783588093322
40.7,876.0,313.84999999999997,8.76e-10,1222.8098502891667,0.0008177886363636364
40.6,872.6,313.75,8.726e-10,1218.0637846601905,0.0008209750692809368
40.5,863.6,313.65,8.636e-10,1205.5006697599595,0.0008295308539306918
40.4,858.7,313.54999999999995,8.587e-10,1198.6607516476113,0.0008342644060260224
40.3,853.9,313.45,8.538999999999999e-10,1191.9604237008211,0.0008389540291070917
40.2,849.3,313.34999999999997,8.493e-10,1185.5392760851475,0.0008434979929995826
40.1,844.9,313.25,8.448999999999999e-10,1179.39730880059,0.0008478906917440473
40.0,840.8,313.15,8.407999999999999e-10,1173.674112012707,0.0008520252681428944
39.9,836.6,313.04999999999995,8.366e-10,1167.8113250592658,0.0008563027079303676
39.7,827.0,312.84999999999997,8.269999999999999e-10,1154.410669165686,0.00086624286028361
39.6,821.5,312.75,8.215e-10,1146.7332100599892,0.0008720424168649365
39.5,817.1,312.65,8.171e-10,1140.5912427754317,0.0008767382761651517
