Temperature,Capacity
29.9,413.2
32.6,444.1
35.4,479.2
37.7,509.2
40.7,564.9
43.1,625.3
46.2,751.2
48.5,951.5
50.0,1219.0
50.5,967.8
50.7,854.4
51.3,710.6
52.3,550.0
53.0,444.1
54.1,368.4
54.5,340.9
55.7,294.3
56.7,258.6
57.9,229.6
58.3,200.0
